,index,problem,multi-query-rag
0,0,高松コンストラクショングループの2025年3月期の受注高の計画は前期比何倍か、小数第三位を四捨五入し答えてください。,1.6倍
1,1,株式会社キッツの取締役の報酬のうち株式報酬の割合は何％？,20%
2,2,グローリーが2024年の統合報告書の中で、研究開発費が増加した理由として挙げている事由は何？,新領域事業の拡大、データアナリティクス技術の活用、デジタルトランスフォーメーション（DX）の推進。
3,3,高松コンストラクショングループの2024年3月期の非常勤監査役は何人？,分からない
4,4,2023年で即席めんの一人当たりの年間消費量が最も多い国はどこか。,日本
5,5,株式会社キッツで2023年度のデジタル教育受講者数は何人？,146人
6,6,2023年度の日清食品ホールディングスの海外事業において、コア営業利益が2番目に高い地域に含まれる国として記載がある国名を全て教えてください。,"中国, EMEA地域"
7,7,株式会社キッツの2023年度売上高構成比が2番目に高い事業の製造・販売会社を全て上げよ。（回答には株式会社も含めること）,"（株）清水合金製作所, 東洋バルヴ（株）, （株）キッツエスシーティー, ワイケイブイ（株）, （株）キッツマイクロフィルター"
8,8,IHIの2023年度の資源・エネルギー・環境事業領域の営業利益が過去最高を記録した要因として挙げているものはなにか,"LCB事業の拡大, コスト構造の強化"
9,9,IHIグループの経営目標の進捗の2022年度と2023年度を比較したとき、営業利益率と税引後ROICではどちらの方が差が大きいか,税引後ROICでは差が大きい
10,10,IHIが燃料アンモニアバリューチェーン構築を支える強みとして挙げていることは何ですか。,アンモニア利活用技術を保有していること。
11,11,2023年の即席めんの一人当たりの年間消費量が最も大きい国と日本の差分は何食か。,29.7食
12,12,メディアドゥの2024年2月期のエンジニアの人数は？,606名
13,13,全国保証株式会社の2024/3期の新規採用数は何人？,12人
14,14,ライフコーポレーションのROEは2022年度から2023年度にかけて向上したのは何％か。,1.9%
15,15,2024年3月期のグローリーのセグメント別売上高の中で、2番目に売上高が大きいセグメントの販売先を答えよ。,流通・交通市場
16,16,カゴメ単体における2023年度の新入社員採用数は2022年度と比べると増加したか、減少したか？,増加した。
17,17,日産自動車の2023年度の従業員の平均年収は約何万円でしょうか。,約877.1万円
18,18,高松コンストラクショングループの2024年3月31日時点での発行済株式の総数は何株ですか,"279,150,000株"
19,19,ハウス食品グループの2024年3月期の売上が2番目に大きいセグメントはなにか。,外食事業
20,20,日清食品ホールディングスが所有する国内外のグループ生産拠点の全部で何拠点か。,36 拠点
21,21,ライフコーポレーションが提供するライフアプリの2023年度末の会員数は約何万人？,約32万人
22,22,パナソニックグループにおいて、2023年度企業市民活動の費用が高いのは、北米と社会福祉分野のどちらか。,社会福祉
23,23,日産自動車のコーポレートパーパスは何ですか。,日産自動車のコーポレートパーパスは、「人々の生活を豊かに。イノベーションをドライブし続ける」です。
24,24,ライフコーポレーションの2023年度の店舗数は何店舗か。,305店舗
